Gene	B6_E14_lung_rep2_TAGCTCG-TAGTAGA_R1.final	B6_E10_limb_rep2_GGACATT-ACTCCTA_R1.final	B6_E10_trunk_rep2_TCCACGT-GTTTAGT_R1.final	B6_E10_head_rep1_GACTTGC-GAACCGT_R1.final	B6_E10_limb_rep1_CCACTCG-CCGAATT_R1.final	B6_E14_palate_rep1_ACTCTTT-CTTCATT_R1.final	B6_E10_limb_rep3_CGGTTTG-AAGCCTT_R1.final	B6_E14_palate_rep2_AAGTTTC-GCTTCCT_R1.final	B6_E14_lung_rep1_AGATCAG-ATGGAAC_R1.final	B6_E10_trunk_rep3_GCGTTCA-GCAATAT_R1.final	B6_E10_head_rep3_CTCCTAG-AGGTAGG_R1.final	B6_E10_trunk_rep1_AGCTTAT-GCTCCTC_R1.final
C030023E24Rik	0	0.03	0	0.07	0.01	0.33	0.01	0.2	0.02	0	0.3	0.04
Ranbp17	3.05	8.34	8.53	6.58	5.83	6.79	6.69	4.89	2.34	12.7	9.5	6.56
Snord34	0	0	0	0	0	0	0	0	0	0	0	0
Mmp14	64.94	57.34	32.68	32.52	40.41	87.54	43.6	80.29	58.18	43.9	29.38	31.38
Meioc	0.15	0.24	0.07	0.18	0.3	0.38	0.28	0.34	0.13	0.29	0.08	0.07
Myrf	12.89	3.23	8.49	2	2.56	0.74	2.76	1	11.12	10.52	1.8	6.33
Pbp2	0	0	0.17	0.06	0.09	0	0.03	0	0.09	0.23	0.07	0.05
Mir448	0	0	0	0	0	0	0	0	0	0	0	0
Adcy10	0.01	0.05	0.01	0.04	0.07	0.02	0.04	0.11	0.03	0.1	0.07	0.06
DQ718975	0	0	0	0	0	0	0	0	0	0	0	0
1700099I09Rik	0.09	0	0.38	0.47	0.19	0.37	0.23	0.37	0.2	0.24	0.15	0.09
AK138088	2.97	7.24	12.17	6.58	4.9	6.91	5.46	4.25	2.84	13.53	15.65	9.38
Pip5k1b	0.98	0.85	2.27	1.03	0.48	0.67	0.48	0.82	0.69	3.04	1.22	1.49
KY468103	0.74	1.04	0.84	0.96	1.57	0.85	1.39	0.57	0.56	1.82	2.3	1.2
H2-Eb1	0.29	0.18	0.16	0.08	0.19	0.32	0.13	0.57	0.42	0.56	0.12	0.16
Hoxd12	0.08	30.86	2.92	0	20.94	0	22.1	0	0	9.34	0.14	3.2
Metrn	89.22	91.53	344.75	211.4	79.7	41.74	90.22	52.9	84.03	316	215.17	262.3
E330016L19Rik	0.08	0.12	0	0.18	0.15	0.21	0.14	0.1	0	0	0.17	0.15
Zfp300	1.38	1.42	1.52	1.13	1.06	2.43	1.31	1.8	0.92	2.77	1.89	1.63
Chrm1	0.17	0.45	0.1	0.07	0.12	0.35	0.14	0.33	0.11	0.22	0.14	0.06
AK078788	0.1	0.15	0.39	0.25	0.16	0.19	0.19	0	0.21	0.17	0.79	0.3
Lrrc17	15.58	20.15	2.01	2.75	15.41	47.8	17.22	47.83	16.15	2.44	3.13	2.24
Mir194-1	0	0	0	0	0	0	0	0	0	0	0	0
DQ698747	0	0	0	0	0	0	0	0	0	0	0	0
Tia1	38.5	71.62	50.76	39.58	48.37	68.55	51.45	52.97	30.77	66.23	42.81	42.05
Ccdc148	0.24	0.28	0.23	0.16	0.19	0.24	0.2	0.43	0.39	0.22	0.26	0.1
DQ694313	0	0	0	0	0	0	0	0	0	0	0	0
Defb35	0	0	0	0	0	0	0	0	0	0	0	0
Car15	0.65	1.97	1	1.11	1.29	0.71	1.62	1.84	0.85	2.33	1.76	1.25
1700096K18Rik	1.2	1.28	1.09	1.55	1.16	2.33	1.03	2.43	1.43	1.54	1.06	1.2
Akt2	52.96	57.18	46.2	35.89	42.22	47.9	42.42	47.91	52.04	60.36	36.85	37.62
DQ695202	0	0	0	0	0	0	0	0	0	0	0	0
Fancd2	9.74	14.24	14.93	9.35	10.7	6.58	10.74	6.13	8.01	19.55	11.96	10.35
Olfr1443	0	0	0	0	0.02	0	0.08	0	0	0.06	0.2	0
Adcy5	1.61	4.55	1.58	1.49	3.42	6.97	3.6	7.31	1.76	2.54	1.46	1.95
Rtkn	14.94	24.76	19.54	18.73	18.58	22.82	20.2	23.11	13.83	27.05	17.12	17.81
Cyhr1	44.51	61.42	55.84	45.31	50.1	55.2	51.58	58.7	41.39	72.2	48.64	43.69
Prr19	0.08	0.14	0.17	0.33	0.29	0.25	0.17	0.57	0.13	0.29	0.56	0.31
Tigar	2.02	3.69	6.4	4.13	3.04	3.57	3.18	3.1	1.92	9.33	5.31	4.84
DQ713539	0	0	0	0	0	0	0	0	0	0	0	0
Cacna1c	4.04	7.91	2.97	2.15	6.42	12.83	6.15	9.29	6.35	3.49	2.46	3.18
Cltc	116.36	115.28	111.09	94.57	83.74	115.91	88.41	105.63	93.07	167.61	111.66	95.74
DQ542428	0	0	0	0	0	0	0	0	0	0	0	0
AK089283	0	1.48	0.17	0.16	0.96	0.46	1.11	0.11	0	0.29	0.04	0.17
Olfr875	0	0	0	0.07	0	0	0.04	0	0	0	0.09	0
Slc37a4	6.29	7.07	8.33	6.44	4.63	4.94	4.7	5.66	5.76	10.21	6.79	7.18
Slc4a7	9.16	19.95	20.26	16.5	15.26	17.02	15.54	12.52	8.31	26.7	21.8	17.31
Pum1	33.18	53.25	55.43	35.78	38.64	46.85	39.87	39.43	29.3	67.15	53.01	41.48
Mkx	2.12	10.6	4.07	3.34	8.33	6.5	8.69	6.66	1.66	5.43	2.66	3.71
DQ714699	0	0	0	0	0	0	0	0	0	0	0	0
Mir6368	0	0	0	0	0	0	0	0	0	0	0	0
Gm19668	0	0	0	0	0	0	0	0	0	0.54	0.26	0
Mir7669	0	0	0	0	0	0	0	0	0	0	0	0
Rabep1	28.39	38.36	40.15	25.46	31.43	34.47	31.17	32.24	26.7	44.04	31.75	29.14
DQ541757	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap2	0.05	0	0.21	0.21	0.04	0.07	0.02	0.16	0	0.54	0.83	0.33
Olfr1474	0	0	0	0	0.06	0	0	0	0	0	0	0.06
Hoxb2	47.27	15.28	45.91	13.48	13.74	0.93	13.89	1.21	42.6	54.41	11.55	32.17
Slc10a4	0.18	0.05	1.31	0.47	0.06	0.52	0.09	0.19	0.49	1.92	0.49	2.11
Olfr1375	0	0	0	0	0.04	0	0	0.08	0	0	0.5	0
Dlk1	40.56	13.24	34.62	14.49	10.71	41.75	11.24	35.83	39.24	27.24	15.37	24.53
Layn	2.49	1.32	1.03	1.17	0.93	2.4	0.95	1.74	2.93	0.98	0.5	0.4
Zfp759	2.83	4.12	2.5	1.88	3.03	2.82	3.32	3.09	2.54	3.85	2.34	1.98
Tcf25	65.71	73.22	76.74	61.38	56.85	80.17	62.45	81.92	64.3	104.41	62.44	56.33
AK005363	0.13	0	0	0	0	0	0.04	0	0.14	0.11	0	0
Grin2b	0.28	0.13	0	0.02	0.09	0.78	0.12	1.53	0.09	0.02	0.21	0.13
Pard3	17.58	32.53	29.35	21.35	25.49	34.99	26.47	32.97	16.23	41.2	26.43	22.58
Mir6916	0	0	0	0	0	0	0	0	0	0	0	0
Smad7	13.58	20.15	15.12	11.72	15.69	11.64	15.33	13.81	13.11	19.83	10.04	12.26
Fbxw15	0.11	0.06	0	0	0	0.44	0	0.05	0.06	0	0	0
4930432E11Rik	0	0	0	0	0.01	0	0.01	0	0	0.02	0.1	0.01
Coasy	14.9	21.38	19.81	18.38	16.21	14.96	16.71	17.09	13.01	23.78	15.99	16.95
Hs3st3b1	0.74	10.72	8.21	3.34	7.77	5.46	8.3	6.14	0.66	11.48	6.47	6.06
Gm3942	0	0	0	0	0	0	0	0	0	0	0	0
DQ697199	0	0	0	0	0	0	0	0	0	0	0	0
Xiap	17.19	22.15	17.51	13.03	15.63	22.13	15.48	19.64	15.41	26.21	16.06	14.25
Nudt4	48.36	63.28	81.83	62.03	52.28	48.43	51.15	51.45	40.91	122.99	64.29	70.73
AB341618	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r64	0	0	0	0	0	0	0	0	0	0	0.1	0
Smr2	0	0	0	0	0	0	0	0	0	0	0	0
Gm16897	0.24	0.25	0.43	0.67	0.26	1.04	0.2	0.59	0.27	0.63	0.71	0.29
DQ714310	0	0	0	0	0	0	0	0	0	0	0	0
Olfr1170	0	0.29	0	0	0.04	0	0	0	0	0	0.1	0
DQ727334	0	0	0	0	0	0	0	0	0	0	0	0
AK053153	2.86	6.4	4.98	5.25	4.18	7.12	3.91	4.61	2.08	8.11	5	5
Tbck	9.85	14.26	9.91	8.83	10.19	17.23	10.66	14.18	8.66	16.17	9.74	8.12
Galr1	0	0.36	0.46	0.35	0.16	0.07	0.16	0.15	0	0.53	0.73	0.17
Vps41	23.84	31.72	25.66	20.73	23.08	29.75	24.6	29.14	21.37	33.42	22.46	22.31
AK047238	0.03	0.21	0.13	0.12	0.12	0.13	0.01	0.26	0.03	0.38	0.21	0.17
Ddx18	26.15	31.96	37.01	29.42	25.92	22.5	28.52	20.39	21.31	51.07	34.96	27.03
Spns1	18.9	30.22	29.29	24.27	21.56	21.43	23.47	23.33	18.77	30.77	21.36	24.29
AK043505	0.02	0	0	0.06	0.02	0.17	0.04	0	0	0.03	0.03	0.03
Tfip11	10.06	13.13	14.11	10.85	10.97	10.16	10.58	11.99	9.37	21.17	13.87	11.65
AK083420	2.05	3.74	3.32	2.11	2.09	3.87	2.51	2.65	1.17	4.82	3.45	2.98
Emx2os	0.11	3.71	1.03	0.48	3	2.57	3.07	2.22	0.04	1.52	1.14	0.96
Olfr1336	0	0	0	0	0	0	0.04	0	0	0.1	0	0
Eif4b	155.41	216.58	203.34	138.06	160.75	133.76	169.85	136.82	141.78	274.39	153.35	152.18
DQ561157	0	0	0	0	0	0	0	0	0	0	0	0
AK136385	2.34	3.96	5.5	3.9	3.06	8.4	3.11	4.38	1.87	6.17	6.23	4.76
Gstt3	3.54	1.67	0.79	0.96	1.77	4.74	1.86	5.59	3.36	1.37	0.86	0.85
AK076966	0	0	0	0	0	0	0	0	0	0	0	0
AK216443	0	0	0	0	0	0	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0.03	0	0.03	0	0	0	0	0.08
Mir1193	9.61	7.83	3.18	0	3.24	14.44	6.31	3.25	2.55	0	3.99	2.48
Cdca7l	24.85	32.47	24.21	18.77	22.65	13.92	27.14	15.5	21.03	34.63	23.37	17.05
Slc35a1	17.45	22.21	19.68	14.53	16.58	14.11	17.77	11.88	16.22	21.48	14.64	14.55
Krtap14	0	0	0	0	0.09	0	0	0	0	0	0	0
Cxcr6	0.32	0.6	0.42	0.34	0.18	1.36	0.24	0.71	0.39	0.82	0.55	0.6
AK080695	0	0	0	0	0	0	0	0.1	0	0.06	0	0
Ckb	41.14	29.58	404.67	362.56	24.34	78.7	25.92	95.17	54.23	509.5	506.75	358.98
Mir6896	0	0	0	0	0	0	0	0	0	0	0	0
Itgb7	0.31	1.12	0.81	0.53	0.89	0.87	0.72	0.88	0.42	0.47	0.69	0.57
JX277353	0	0	0	0	0	0	0	0	0	0	0	0
DQ707201	0	0	0	0	0	0	0	0	0	0	0	0
Gas2l1	5.55	7.47	7.24	6.08	5.59	7.33	6.19	6.83	4.86	10.82	7	5.7
Mir1953	0	0	0	0	0	0	0	0	0	0	0	0
Nab2	18.24	30.37	11.79	13.03	23.14	28.41	22.64	29.72	17.34	17.92	8.73	13.83
Ebag9	15.47	17.59	15.37	11.59	13.88	10.76	11.77	10.84	10.47	17.59	11.63	11.27
Gpr37	0.23	0.29	0.71	1.08	0.21	2.87	0.22	3.15	0.45	0.7	0.65	0.77
Gm12238	4.21	6.85	8.35	5.44	5.67	0	4.14	8.52	0	7.2	6.99	0
DQ549766	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r172	0	0	0	0	0	0	0	0	0	0	0	0
DQ566960	0	0	0	0	0	0	0	0	0	0	0	0
DQ721116	0	0	0	0	0	0	0	0	0	0	0	0
Iqcf1	0	0.15	0	0	0.08	0	0	0	0	0	0.2	0
Tfrc	36.76	58.54	58.05	44.96	40.73	21.15	43.14	18.29	27.57	68.87	47.78	48.58
Wipf1	4.32	5.65	4.82	3.69	4.94	9.67	4.78	9.35	3.26	7.07	5.33	3.5
1700067G17Rik	0	0	0	0.13	0	0	0	0	0	0	0	0
AK031165	2.21	3.37	5.41	2.79	2.48	4.76	2.71	2.21	1.54	5.12	3.91	3.1
Mir128-2	0	0	0	0	0	0	0	0	0	0	0	0
Hnf4a	0.09	0.37	0.12	0.29	0.28	0	0.16	0.12	0.01	0.12	0.1	0.14
Tm4sf5	1.79	0	0.08	0.07	0.23	0.23	0.3	0.23	0.8	0.1	0.1	0.06
Gm826	0.05	0	0	0	0.1	0	0.07	0.34	0.05	0.26	0.08	0
Actrt2	0	0	0	0	0.08	0	0.05	0	0	0	0	0
AK204212	2.43	0	0	2.67	0	0	0	0	0	0	0	0
AB343773	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0.04	0	0	0	0	0	0.01	0.06	0	0.04	0.04	0
Krt33a	0	0	0.04	0	0.02	0.13	0.06	0.17	0	0.07	0	0
4930555G21Rik	0	0	0	0	0.08	0	0	0	0	0	0	0
Nt5c1a	0	0	0	0	0	0.1	0	0.07	0.16	0	0	0
DQ565493	0	0	0	0	0	0	0	0	0	0	0	0
Plag1	8.43	14.6	7.44	6.59	10.68	15.18	10.72	11.38	6.23	14.6	8.15	7.46
Zfp973	0	0	0	0	0	0	0	0	0	0	0	0
AK053630	0.4	0.48	0.94	0.58	0.53	1.99	0.56	0.98	0.33	1.02	0.55	0.75
Etnppl	0	0	0	0	0.03	0.09	0.04	0.03	0.04	0.2	0.24	0.06
Ikzf5	7.35	13.7	10.31	7.56	8.96	8.96	10.52	8.55	7.19	15.29	9.56	9.13
Gm10575	0.51	1.22	0.73	0.36	0.44	0.47	0.38	0.75	0.55	0.53	0.7	0.25
Pgk2	0	0	0	0	0	0	0	0	0	0	0	0
Hdac11	7.31	22.08	12.38	10.29	15.71	17.99	16.28	18.99	7.8	17.29	10.8	13.09
Z12592	0	0	0	0	0	0	0	0	0	0	0	0
Gm15412	0.25	0.17	0.4	0.2	0.48	0.81	0.27	0.27	0.16	0.52	0.42	0.37
Olfr1337	0	0	0	0.08	0.04	0	0.08	0	0	0.1	0.2	0
Gypa	5.01	6.29	6.99	10.47	5.09	1.23	5.91	1.23	2.7	12.26	7.32	11.01
H2al1b	0	0.63	0	0	0	0.26	0	0.18	0	0	0.22	0.27
Nradd	22.77	30.57	23.07	17.06	24.83	21.81	27.79	23.26	22.5	21.2	13.69	17.23
2310057M21Rik	3.91	4.1	4.8	3.37	3.74	3.83	3.98	4.35	3.03	7.32	4.5	3.92
6430548M08Rik	2.48	1.47	2.83	2.29	1.23	3.15	1.19	3.11	2.33	3.52	2.95	1.83
KY467696	0	0	0	0	0.42	0.62	0.1	0	0	0.27	0.26	0
Casc3	12.52	24.43	26.95	19.41	17.78	16.94	18.79	16.59	13.17	32.26	19.53	20.65
Prss29	0	0	0	0	0	0	0	0	0	0	0	0.05
Gm14632	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp1	0.44	0.28	0.12	0.34	0.06	0	0.11	0.47	0.83	0.45	0.58	0.09
Btbd35f20	0	0	0	0	0	0	0	0	0	0	0	0
AK078316	3.08	3.04	1.61	1.63	2.25	3.66	1.74	3.47	2.54	1.86	1.59	1.62
Cdc27	30.31	46.33	39.65	30.74	31.85	33	33.76	28.63	25.06	62.23	36.67	30.73
Gm5106	0	0	0	0.06	0.11	0	0.06	0	0	0.13	0.07	0.04
Edn2	0.22	0.06	0	0	0.13	0.74	0.07	1.91	0.04	0	0	0
AK141411	2	1.87	3.42	3.79	2.13	1.38	2.3	2.39	2.27	3.45	3.9	2.43
Cldn13	0.94	1.19	1.11	2.23	1.37	0.31	1.3	0.14	0.28	1.25	0.87	1.45
DQ692361	0	0	0	0	0	0	0	0	0	0	0	0
Mir6402	0	0	0	0	0	0	0	0	0	0	0	0
Mir1956	0	0	0	0	0	0	0	0	0	0	0	0
AK053772	0.56	0.85	1.19	1.5	0.96	1.5	1.01	1.57	0.52	2.19	0.87	1.32
Smarcc1	49.07	88.52	89.59	64.04	69.68	67.34	71.79	56.03	41.37	144.66	87.93	68.4
EF651829	0	0	0	0	0	0	0	0	0	0	0	0
Kcnk7	0.3	0.32	0.13	0.13	0.1	0.6	0.13	0.27	0.16	0.17	0.5	0.51
Gm14486	0.51	0.33	0.07	0.33	0.41	0.31	0.77	0.48	0.22	0.35	0.42	0.32
Mettl13	14.11	18.75	18.65	12.03	14.14	13.13	15.76	12.33	13	22.42	13.47	13.68
Ube3b	20.12	22.84	23.28	18.16	17.03	19.29	17.68	20.58	18.48	35.09	22.29	17.61
Spint2	15.31	19.77	8.43	12.78	19.64	25.75	20.27	27.06	12.39	10.57	7.86	7.79
Setd1a	5.76	7.64	10.94	6.39	5.81	8.35	6.23	7.39	4.24	14.18	9.31	7.24
Tgm6	0	0.06	0	0	0.04	0	0.02	0.05	0	0.06	0.06	0
Hk2	15.58	26.7	29.27	16.64	20.42	10.28	20.29	9.81	12.97	36.07	25.02	21.75
Glod4	35.38	40.93	32.51	26.38	30.44	30.14	31.26	29.06	33.12	32.96	23.35	26.62
Xpo5	34.25	59.6	59.32	46.97	45.23	32.83	48.66	35.41	32.6	84.81	53.93	44.97
Cntd1	0.5	0.95	0.67	0.88	0.53	0.81	1.05	0.81	0.38	2.4	1.02	0.84
Wdr48	25.4	38.77	32.87	23.9	27.59	26.28	29.11	27.7	21.32	45.22	27.68	24.65
AK205703	0	0	0	0	0	0	0	0	0	0	0	0
4930555B12Rik	0	0	0	0	0	0	0	0	0	0	0	0
DQ692085	0	0	0	0	0	0	0	0	0	0	0	0
Pigyl	22.3	9.32	12.23	10.29	12.09	11.3	15.77	15.24	18.23	10.47	8.39	12.53
Fam240a	0	0	0	0	0	0	0.08	0	0	0	0	0
Acsl3	19.55	44.87	37.68	28.25	33.37	23.99	35.01	22.54	17.33	48.42	30.79	29.53
DQ560010	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl55	38.49	33.93	52.23	38.35	36.85	26.15	42.79	27.28	37.23	38.08	37.16	37.17
AK138343	0.26	0.29	0.39	0.29	0.4	0.45	0.3	0.21	0.11	0.93	0.6	0.39
Ccdc151	0.53	0.9	1.5	1.6	1.01	1.01	0.58	0.49	0.49	2.19	1.99	2.05
Mir3081	0	0	0	0	0	0	0	0	0	0	0	0
TRNA_SeC	0	0	0	0	0	0	0	0	0	0	0	0
Tcaf2	6.29	4.38	3.32	2.85	3.36	3.36	3.69	3.78	5.14	4.8	2.96	3.02
Pja2	28.74	32.77	25.87	20.31	23.85	39.74	25.18	35.37	25.28	41.72	24.44	22.31
Mir5626	0	0	0	0	0	0	0	0	0	0	0	0
AK167137	0.03	0	0.12	0.06	0.07	0.12	0.02	0	0.04	0.23	0	0.12
Nxf3	0.05	0	0.07	0	0.01	0	0	0.02	0.02	0.03	0.03	0
DOKist4	0	0	0	0	0	0	0	0	0	0	0	0
Osmr	0.07	0.11	0.19	0.34	0.15	0.56	0.25	0.36	0.15	0.1	0.34	0.16
AK028711	0	0	0	0	0.03	0	0.03	0	0	0	0.04	0
Tmem208	59.49	51	49.57	48.92	47.82	45.65	53.06	49.73	53.44	37.66	33.69	45.03
Phf11d	0.34	0.42	0.5	0.22	0.08	0.76	0.28	0.29	0.44	0.53	0.65	0.46
Zfp335	7.89	10.11	9.91	6.93	7.29	9.5	8.26	10.28	7.45	13.67	8.45	8.65
Terc	97.56	131.69	230.27	329.53	212.98	83.94	149.77	65.37	95.24	155.96	277.26	169.14
Nhlrc2	11.85	14.26	14.26	10.73	11.02	13.24	12.19	11.52	9.8	20.16	13.82	10.74
Il1r1	2.29	0.87	0.19	0.2	0.85	5.27	0.88	3.31	2.34	0.41	0.16	0.23
DQ710600	0	0	0	0	0	0	0	0	0	0	0	0
Sult2a3	0	0	0	0	0	0	0	0	0	0	0	0
Tldc2	0.09	0.31	0	0.12	0	0	0.06	0	0	0.16	0	0.1
Olfr639	0	0	0	0	0	0	0	0	0	0.1	0	0
Zfp995	3.55	4.66	2.84	2.52	3.34	4.83	2.78	5.36	1.98	4.62	3.64	2.61
4930571K23Rik	0	0	0	0.03	0	0	0	0	0.05	0.04	0.04	0
Dock6	10.67	9	13.25	10.18	7.83	12.51	7.69	11.32	10.28	15.56	9.38	10.47
Fam167b	1.14	1.95	1.67	1.16	2.18	2.52	2.13	3.4	1.34	1.03	0.5	1.18
AK043080	0.03	0	0.11	0.04	0.04	0.11	0.02	0.04	0.06	0.23	0.23	0.06
Olfr671	0	0	0	0	0	0	0	0	0	0	0.05	0
DQ714799	0	0	0	0	0	0	0	0	0	0	0	0
Ephb1	0.94	1.14	1.06	3.05	1.09	3.16	1.18	2.71	0.81	1.84	4.24	1.01
AK161019	0.22	0.59	0.1	0.19	0.35	1.27	0.51	0.97	0.52	0.26	0.16	0.19
Mir467c	0	0	0	0	0	0	0	0	0	0	0	0
Mansc4	1.04	0.8	0.59	0.45	1.27	1.68	1.3	0.94	0.52	1.1	0.66	0.36
Cd83	4.31	3.95	4.3	1.08	2.47	2.88	2.97	2.94	3.33	5.74	0.74	4.56
Vmn2r102	0	0	0	0	0	0	0	0	0	0.11	0	0
Camk1	55.81	30.64	18.36	18.29	25.5	43.72	26.42	47.03	53.61	18.1	15.41	19.53
Ssc5d	1.28	1.35	2.48	0.6	0.67	0.93	0.92	1.78	1.43	3.15	0.99	2.25
1700012B09Rik	0	0.3	0	0	0.06	0.18	0.3	0.25	0	0	0.29	0
DQ553787	0	0	0	0	0	0	0	0	0	0	0	0
Bcl3	0.26	0.19	0.15	0.27	0.2	1.11	0.42	0.51	0.4	0.3	0.24	0.27
Olfr986	0	0	0	0	0	0	0	0	0	0.09	0	0
Reln	1.41	1.67	2.55	2.22	1.69	3.46	1.58	2.87	1.95	5.11	3.65	3.01
Prtn3	1.29	2.28	2.44	2.84	2.38	1.63	3.31	2.29	1.09	2.19	1.41	2.69
Olfr679	0	0	0.08	0	0	0	0	0	0	0.05	0.5	0
Mir7075	0	0	0	0	0	0	0	0	0	0	0	0
4930453N24Rik	39.53	44.08	41.36	34.92	35.78	29.64	37.44	32.27	32.36	45.12	35.03	34.92
DQ559865	0	0	0	0	0	0	0	0	0	0	0	0
AK014401	0.17	0.44	2.7	1.45	0.6	1.09	0.71	0.8	0.28	2.86	2.87	1.73
DQ541189	0	0	0	0	0	0	0	0	0	0	0	0
AK031221	0.15	1.41	0.21	0.18	1.19	0.97	1.16	0.39	0.2	0.67	0.27	0.09
Shisa6	0.1	0.07	0.11	0.17	0.08	0.11	0.04	0.16	0.3	0.19	0.22	0.1
AK031944	0.11	0.24	0.13	0.28	0.1	0.6	0.13	0.81	0.06	0.05	0.29	0.07
Klf16	9.75	9.04	8.15	7.6	6.57	9.17	7.6	7.88	9.7	13.02	5.35	6.16
AK162806	0.81	0.91	0.98	0.64	0.86	0.77	0.59	0.75	0.62	1.57	1.27	0.77
Gm6455	0	0.17	0	0.2	0.08	0	0.04	0	0.06	0.18	0.18	0
Dapp1	3.52	1.38	0.99	1.03	1.18	4.99	1.51	4.3	3.04	1.6	1.27	1.22
Zbtb2	8.17	10.64	9.94	8.08	8.06	8	9.13	7.36	7.81	15.97	8.85	8.5
A230103J11Rik	1.39	2.14	3.39	1.99	2.2	3.35	1.66	1.71	1.18	2.41	1.62	2.54
Tfpi2	0.54	0.35	0.05	0.14	0.17	0.43	0.28	0.44	0.53	0.31	0.06	0.11
Tlcd1	6.87	5.8	6.52	6.31	4.77	6.38	5.11	5.98	5.31	6.88	4.01	5.82
Wdr20rt	0	0	0	0	0	0	0	0	0	0.11	0.06	0
AK035770	1.37	3.35	2.06	1.5	2.23	2.01	2.4	2.36	1.41	2.73	2.02	1.87
AK038627	3.38	4.18	9.34	5.2	3.51	4.44	5.79	4.29	2.23	8.16	4.08	3.59
Mir365-2	0	0	0	0	0	0	0	0	0	0	0	0
AK018074	1.41	1.04	2.82	1.37	0.96	3.91	1.4	1.61	1.16	2.5	1.42	1.88
Pigh	8.87	15	10.38	9.34	10.59	12.28	10.56	9.8	7.24	12.55	9.78	7.87
Olfr675	0	0	0	0	0	0	0	0.08	0	0	0.05	0
Hspa5	487.09	503.5	452.44	374.99	370.01	302.12	384.11	315.53	442.02	519.51	338.38	373.73
Kat2b	4.74	2.89	3.28	2.58	2.31	6.68	2.27	5.21	3.78	4.8	2.85	2.78
Scn10a	0.05	0.03	0.02	0.02	0.04	1.86	0.02	1.66	0.08	0.03	0	0
Vps4a	30.91	38.11	35.11	27.57	27.94	36.44	32.42	36.38	29.27	47.8	30.83	28.59
AK038160	0.42	0.77	1.13	0.81	0.51	1.26	0.48	0.86	0.34	1.23	1.06	0.82
FJ541124	0	0	0	0	0	0	0	0	0	0	0	0
Urb2	9.71	13.74	14.28	9.37	10.37	9.49	10.47	8.72	8.74	22.2	11.69	10.59
A930017K11Rik	0.19	0.1	0	0.05	0.07	0.21	0.07	0	0.11	0.14	0.17	0.06
AB341951	0	0	0	0	0	0	0	0	0	0	0	0
Gapt	0.1	0	0	0	0	0.05	0.09	0	0.28	0	0.22	0.05
Mir7046	0	0	0	0	0	0	0	0	0	0	0	0
DQ686483	0	0	0	0	0	0	0	0	0	0	0	0
Trip10	16.29	14.56	17.6	15.45	11.98	9.77	11.99	10.9	16.22	21.27	13.64	13.03
Rpl5	922.09	1063.73	968.31	724.49	909.53	715.49	970.94	755.17	864.52	945.78	666.11	781.27
DQ552173	0	0	0	0	0	0	0	0	0	0	0	0
Vpreb3	0	0.33	0.13	0.13	0.54	0.2	0.46	0	0.11	0.69	0.34	0.94
DQ699700	0	0	0	0	0	0	0	0	0	0	0	0
Lgi3	8.48	1.03	0.28	0.6	1.4	1.7	1.26	1.18	8.88	0.69	0.27	0.34
Slc25a40	3.65	4.7	6.19	3.75	4.1	9.81	3.96	5.61	3.3	7.44	5.65	4.01
DQ712910	0	0	0	0	0	0	0	0	0	0	0	0
KY467832	0	0	0	0	0.12	0	0	0	0.08	0	0	0
DQ569216	0	0	0	0	0	0	0	0	0	0	0	0
Rs1	0.04	0.13	0.16	0.14	0.1	0.26	0.11	0.13	0.01	0.2	0.23	0.12
Olfr947-ps1	0	0	0	0	0	0	0.02	0.03	0	0	0	0
Mir7653	0	0	0	0	0	0	0	0	0	0	0	0
Brd8	30.3	47.3	46.02	33.99	35.24	35.66	36.55	31.79	26.56	54.98	37.95	34.68
5430402O13Rik	0.85	0.32	0.78	0.76	1.06	3.2	0.73	1.77	1.11	1.01	1.31	1.38
Btk	0.64	0.71	0.33	0.3	0.29	0.87	0.18	0.65	0.62	0.53	0.59	0.3
DQ567691	0	0	0	0	0	0	0	0	0	0	0	0
Tnrc18	9.14	13.87	16.78	11.44	11.26	24.28	11.98	21.43	8.52	23.19	14.96	13.16
BC064078	1.17	1.6	1.8	3.84	2.99	8.4	2.36	8.39	1.82	3.6	4.52	1.19
Vamp1	1.01	1.97	1.99	1.07	1.56	2.24	1.23	1.73	0.58	2.13	2.08	1.71
Dnajc21	10.17	15.99	18.24	16.47	12.63	12.38	13.16	12.36	8.93	27.65	17	12.98
AK188812	0	0	0	0	0	0	0	0	1	0	0	0
Crlf3	18.58	32.23	24.9	19.81	23.66	23.02	25.09	19.69	16.62	32.85	20.07	21.07
Taar7a	0	0	0	0	0.07	0	0	0	0	0.09	0	0
Kdm5a	20.9	32.46	28.32	20.59	23.58	32.58	24.19	26.12	17.35	41.78	26.73	24.03
AA388235	1.79	4	3.28	2.5	2.7	2.31	2.89	2.49	1.57	4.49	2.86	2.34
Fam174a	13.17	9.13	9.28	9.53	7.51	9.65	7.37	11.77	12.46	8.86	6.69	7.46
